"location","gender","country","country_total"
강북구,여,중      국,543
강북구,여,베  트  남,307
강북구,여,우즈베키스탄,24
강북구,여,캄 보 디 아,16
강북구,여,필  리  핀,78
강북구,여,인도네시아,3
강북구,여,네      팔,12
강북구,여,태      국,27
강북구,여,스 리 랑 카,0
강북구,여,미      국,35
강북구,여,미  얀  마,3
강북구,여,일      본,100
강북구,여,몽      골,210
강북구,여,(타  이  완),68
강북구,여,방글라데시,1
강북구,여,파 키 스 탄,5
강북구,여,카자흐스탄,18
강북구,여,인      도,4
강북구,여,러시아(연방),17
강북구,여,캐  나  다,8
강북구,여,키 르 기 즈,9
강북구,여,영      국,0
강북구,여,프  랑  스,9
강북구,여,이  집  트,0
강북구,여,우크라이나,3
강북구,여,말레이시아,2
강북구,여,독      일,1
강북구,여,나이지리아,0
강북구,여,남아프리카 공화국,4
강북구,여,동 티 모 르,0
강북구,여,(홍      콩),9
강북구,여,오스트레일리아,1
강북구,여,시  리  아,0
강북구,여,이      란,2
강북구,여,가      나,1
강북구,여,사우디아라비아,1
강북구,여,카  메  룬,0
강북구,여,터      키,1
강북구,여,싱 가 포 르,1
강북구,여,뉴 질 랜 드,1
강북구,여,에티오피아,0
강북구,여,브  라  질,1
강북구,여,노 르 웨 이,0
강북구,여,이 탈 리 아,4
강북구,여,라  오  스,1
강북구,여,모  로  코,2
강북구,여,우  간  다,0
강북구,여,아 일 랜 드,0
강북구,여,한국계 러시아인,0
강북구,여,스  페  인,1
강북구,여,네 덜 란 드,1
강북구,여,멕  시  코,3
강북구,여,예     멘,0
강북구,여,아랍에미리트연합,0
강북구,여,타지키스탄,0
강북구,여,스  웨  덴,0
강북구,여,폴  란  드,0
강북구,여,라이베리아,0
강북구,여,케      냐,0
강북구,여,이  라  크,0
강북구,여,요  르  단,0
강북구,여,세  네  갈,0
강북구,여,벨  기  에,0
강북구,여,페      루,0
강북구,여,수      단,0
강북구,여,콜 롬 비 아,3
강북구,여,아프가니스탄,0
강북구,여,스  위  스,0
강북구,여,루 마 니 아,0
강북구,여,에 콰 도 르,0
강북구,여,리  비  아,0
강북구,여,덴  마  크,0
강북구,여,르  완  다,0
강북구,여,핀  란  드,0
강북구,여,그  리  스,0
강북구,여,벨 로 루 시,0
강북구,여,오스트리아,0
강북구,여,콩고민주공화국,0
강북구,여,탄 자 니 아,0
강북구,여,알  제  리,0
강북구,여,기      니,0
강북구,여,코트디부아르,0
강북구,여,말      리,0
강북구,여,튀  니  지,0
강북구,여,헝  가  리,0
강북구,여,아제르바이잔,1
강북구,여,이 스 라 엘,0
강북구,여,베네수엘라,1
강북구,여,칠      레,1
강북구,여,불 가 리 아,0
강북구,여,체      코,0
강북구,여,앙  골  라,0
강북구,여,아르헨티나,1
강북구,여,포 르 투 갈,0
강북구,여,(마  카  오),3
강북구,여,투르크메니스탄,1
강북구,여,감  비  아,0
강북구,여,잠  비  아,0
강북구,여,쿠 웨 이 트,0
강북구,여,과 테 말 라,0
강북구,여,부  룬  디,0
강북구,여,짐 바 브 웨,0
강북구,여,크로아티아,0
강북구,여,아르메니아,1
강북구,여,리투아니아,1
강북구,여,파 라 과 이,0
강북구,여,브 루 나 이,0
강북구,여,세르비아,0
강북구,여,볼 리 비 아,0
강북구,여,도미니카공화국,0
강북구,여,엘살바도르,0
강북구,여,오      만,0
강북구,여,가      봉,0
강북구,여,코스타리카,0
강북구,여,파  나  마,0
강북구,여,슬로바키아,0
강북구,여,팔레스타인,0
강북구,여,피      지,0
강북구,여,온 두 라 스,1
강북구,여,몰  도  바,0
강북구,여,부르키나파소,0
강북구,여,조 지 아,0
강북구,여,슬로베니아,0
강북구,여,시에라리온,0
강북구,여,자 메 이 카,0
강북구,여,모 잠 비 크,0
강북구,여,라 트 비 아,0
강북구,여,토      고,0
강북구,여,레  바  논,0
강북구,여,니 카 라 과,0
강북구,여,말  라  위,0
강북구,여,우 루 과 이,0
강북구,여,마다가스카르,0
강북구,여,부      탄,0
강북구,여,모 리 셔 스,0
강북구,여,아  이  티,0
강북구,여,쿠      바,0
강북구,여,콩      고,0
강북구,여,남수단공화국,0
강북구,여,아이슬란드,0
강북구,여,키 프 로 스,0
강북구,여,알 바 니 아,0
강북구,여,에스토니아,0
강북구,여,트리니다드토바고,0
강북구,여,베      냉,0
강북구,여,기니비사우,0
강북구,여,차      드,0
강북구,여,에리트레아,0
강북구,여,모 리 타 니,0
강북구,여,(영국 외지민),0
강북구,여,룩셈부르크,0
강북구,여,소 말 리 아,0
강북구,여,마케도니아,0
강북구,여,솔로몬군도,0
강북구,여,바  레  인,0
강북구,여,보 츠 와 나,0
강북구,여,중앙 아프리카 공화국,0
강북구,여,카  타  르,0
강북구,여,바  하  마,1
강북구,여,바베이도스,0
강북구,여,니  제  르,0
강북구,여,세인트크리스토퍼 네비스,0
강북구,여,벨  리  즈,0
강북구,여,몬테네그로,0
강북구,여,보스니아-헤르체고비나,0
강북구,여,파푸아뉴기니,0
강북구,여,몰      타,0
강북구,여,코  모  로,0
강북구,여,가 이 아 나,0
강북구,여,몰  디  브,0
강북구,여,레  소  토,0
강북구,여,수  리  남,0
강북구,여,코소보,0
강북구,여,스와질란드,0
강북구,여,키 리 바 시,0
강북구,여,통      가,0
강북구,여,나  우  루,0
강북구,여,바 누 아 투,0
강북구,여,세인트루시아,0
강북구,여,팔  라  우,0
강북구,여,나 미 비 아,0
강북구,여,적 도 기 니,0
강북구,여,도미니카연방,0
강북구,여,카보베르데,0
강북구,여,그 레 나 다,0
강북구,여,기타,5
강서구,남,한국계 중국인,1351
강서구,남,중      국,419
강서구,남,베  트  남,89
강서구,남,우즈베키스탄,29
강서구,남,캄 보 디 아,62
강서구,남,필  리  핀,40
강서구,남,인도네시아,33
강서구,남,네      팔,9
강서구,남,태      국,11
강서구,남,스 리 랑 카,11
강서구,남,미      국,143
강서구,남,미  얀  마,83
강서구,남,일      본,65
강서구,남,몽      골,22
강서구,남,(타  이  완),166
강서구,남,방글라데시,16
강서구,남,파 키 스 탄,13
강서구,남,카자흐스탄,9
강서구,남,인      도,39
강서구,남,러시아(연방),53
강서구,남,캐  나  다,78
강서구,남,키 르 기 즈,1
강서구,남,영      국,45
강서구,남,프  랑  스,14
강서구,남,이  집  트,11
강서구,남,우크라이나,0
강서구,남,말레이시아,50
강서구,남,독      일,18
강서구,남,나이지리아,8
강서구,남,남아프리카 공화국,12
강서구,남,동 티 모 르,0
강서구,남,(홍      콩),3
강서구,남,오스트레일리아,40
강서구,남,시  리  아,1
강서구,남,이      란,4
강서구,남,가      나,1
강서구,남,사우디아라비아,1
강서구,남,카  메  룬,0
강서구,남,터      키,1
강서구,남,싱 가 포 르,6
강서구,남,뉴 질 랜 드,15
강서구,남,에티오피아,1
강서구,남,브  라  질,28
강서구,남,노 르 웨 이,0
강서구,남,이 탈 리 아,22
강서구,남,라  오  스,0
강서구,남,모  로  코,0
강서구,남,우  간  다,0
강서구,남,아 일 랜 드,8
강서구,남,한국계 러시아인,0
강서구,남,스  페  인,9
강서구,남,네 덜 란 드,11
강서구,남,멕  시  코,18
강서구,남,예     멘,1
강서구,남,아랍에미리트연합,0
강서구,남,타지키스탄,1
강서구,남,스  웨  덴,5
강서구,남,폴  란  드,7
강서구,남,라이베리아,0
강서구,남,케      냐,1
강서구,남,이  라  크,0
강서구,남,요  르  단,2
강서구,남,세  네  갈,0
강서구,남,벨  기  에,10
강서구,남,페      루,2
강서구,남,수      단,0
강서구,남,콜 롬 비 아,5
강서구,남,아프가니스탄,0
강서구,남,스  위  스,5
강서구,남,루 마 니 아,0
강서구,남,에 콰 도 르,4
강서구,남,리  비  아,0
강서구,남,덴  마  크,1
강서구,남,르  완  다,0
강서구,남,핀  란  드,1
강서구,남,그  리  스,2
강서구,남,벨 로 루 시,0
강서구,남,오스트리아,11
강서구,남,콩고민주공화국,0
강서구,남,탄 자 니 아,0
강서구,남,알  제  리,0
강서구,남,기      니,0
강서구,남,코트디부아르,0
강서구,남,말      리,0
강서구,남,튀  니  지,3
강서구,남,헝  가  리,0
강서구,남,아제르바이잔,0
강서구,남,이 스 라 엘,0
강서구,남,베네수엘라,6
강서구,남,칠      레,1
강서구,남,불 가 리 아,6
강서구,남,체      코,14
강서구,남,앙  골  라,0
강서구,남,아르헨티나,2
강서구,남,포 르 투 갈,4
강서구,남,(마  카  오),0
강서구,남,투르크메니스탄,0
강서구,남,감  비  아,0
강서구,남,잠  비  아,0
강서구,남,쿠 웨 이 트,0
강서구,남,과 테 말 라,0
강서구,남,부  룬  디,0
강서구,남,짐 바 브 웨,0
강서구,남,크로아티아,1
강서구,남,아르메니아,0
강서구,남,리투아니아,0
강서구,남,파 라 과 이,0
강서구,남,브 루 나 이,0
강서구,남,세르비아,4
강서구,남,볼 리 비 아,1
강서구,남,도미니카공화국,0
강서구,남,엘살바도르,1
강서구,남,오      만,0
강서구,남,가      봉,0
강서구,남,코스타리카,0
강서구,남,파  나  마,1
강서구,남,슬로바키아,1
강서구,남,팔레스타인,0
강서구,남,피      지,1
강서구,남,온 두 라 스,0
강서구,남,몰  도  바,0
강서구,남,부르키나파소,0
강서구,남,조 지 아,0
강서구,남,슬로베니아,0
강서구,남,시에라리온,0
강서구,남,자 메 이 카,4
강서구,남,모 잠 비 크,0
강서구,남,라 트 비 아,0
강서구,남,토      고,0
강서구,남,레  바  논,0
강서구,남,니 카 라 과,0
강서구,남,말  라  위,0
강서구,남,우 루 과 이,0
강서구,남,마다가스카르,0
강서구,남,부      탄,0
강서구,남,모 리 셔 스,1
강서구,남,아  이  티,0
강서구,남,쿠      바,0
강서구,남,콩      고,0
강서구,남,남수단공화국,0
강서구,남,아이슬란드,1
강서구,남,키 프 로 스,5
강서구,남,알 바 니 아,0
강서구,남,에스토니아,0
강서구,남,트리니다드토바고,0
강서구,남,베      냉,0
강서구,남,기니비사우,0
강서구,남,차      드,0
강서구,남,에리트레아,0
강서구,남,모 리 타 니,0
강서구,남,(영국 외지민),0
강서구,남,룩셈부르크,0
강서구,남,소 말 리 아,0
강서구,남,마케도니아,0
강서구,남,솔로몬군도,0
강서구,남,바  레  인,0
강서구,남,보 츠 와 나,0
강서구,남,중앙 아프리카 공화국,0
강서구,남,카  타  르,0
강서구,남,바  하  마,0
강서구,남,바베이도스,1
강서구,남,니  제  르,0
강서구,남,세인트크리스토퍼 네비스,0
강서구,남,벨  리  즈,0
강서구,남,몬테네그로,0
강서구,남,보스니아-헤르체고비나,0
강서구,남,파푸아뉴기니,0
강서구,남,몰      타,0
강서구,남,코  모  로,0
강서구,남,가 이 아 나,0
강서구,남,몰  디  브,0
강서구,남,레  소  토,0
강서구,남,수  리  남,0
강서구,남,코소보,0
강서구,남,스와질란드,0
강서구,남,키 리 바 시,0
강서구,남,통      가,0
강서구,남,나  우  루,0
강서구,남,바 누 아 투,0
강서구,남,세인트루시아,0
강서구,남,팔  라  우,0
강서구,남,나 미 비 아,1
강서구,남,적 도 기 니,0
강서구,남,도미니카연방,0
강서구,남,카보베르데,0
강서구,남,그 레 나 다,0
강서구,남,기타,0
강서구,여,한국계 중국인,1300
강서구,여,중      국,787
강서구,여,베  트  남,293
강서구,여,우즈베키스탄,47
강서구,여,캄 보 디 아,23
강서구,여,필  리  핀,131
강서구,여,인도네시아,31
강서구,여,네      팔,1
강서구,여,태      국,35
강서구,여,스 리 랑 카,0
강서구,여,미      국,80
강서구,여,미  얀  마,3
강서구,여,일      본,234
강서구,여,몽      골,55
강서구,여,(타  이  완),143
강서구,여,방글라데시,4
강서구,여,파 키 스 탄,3
강서구,여,카자흐스탄,12
강서구,여,인      도,22
강서구,여,러시아(연방),39
강서구,여,캐  나  다,14
강서구,여,키 르 기 즈,5
강서구,여,영      국,18
강서구,여,프  랑  스,5
강서구,여,이  집  트,1
강서구,여,우크라이나,0
강서구,여,말레이시아,8
강서구,여,독      일,6
강서구,여,나이지리아,1
강서구,여,남아프리카 공화국,5
강서구,여,동 티 모 르,0
강서구,여,(홍      콩),11
강서구,여,오스트레일리아,4
강서구,여,시  리  아,0
강서구,여,이      란,3
강서구,여,가      나,1
강서구,여,사우디아라비아,0
강서구,여,카  메  룬,0
강서구,여,터      키,0
강서구,여,싱 가 포 르,2
강서구,여,뉴 질 랜 드,2
강서구,여,에티오피아,0
강서구,여,브  라  질,4
강서구,여,노 르 웨 이,0
강서구,여,이 탈 리 아,2
강서구,여,라  오  스,4
강서구,여,모  로  코,1
강서구,여,우  간  다,0
강서구,여,아 일 랜 드,0
강서구,여,한국계 러시아인,5
강서구,여,스  페  인,4
강서구,여,네 덜 란 드,1
강서구,여,멕  시  코,3
강서구,여,예     멘,0
강서구,여,아랍에미리트연합,0
강서구,여,타지키스탄,0
강서구,여,스  웨  덴,0
강서구,여,폴  란  드,4
강서구,여,라이베리아,0
강서구,여,케      냐,0
강서구,여,이  라  크,0
강서구,여,요  르  단,0
강서구,여,세  네  갈,0
강서구,여,벨  기  에,1
강서구,여,페      루,1
강서구,여,수      단,0
강서구,여,콜 롬 비 아,1
강서구,여,아프가니스탄,0
강서구,여,스  위  스,0
강서구,여,루 마 니 아,1
강서구,여,에 콰 도 르,1
강서구,여,리  비  아,0
강서구,여,덴  마  크,0
강서구,여,르  완  다,0
강서구,여,핀  란  드,0
강서구,여,그  리  스,0
강서구,여,벨 로 루 시,0
강서구,여,오스트리아,2
강서구,여,콩고민주공화국,0
강서구,여,탄 자 니 아,0
강서구,여,알  제  리,0
강서구,여,기      니,0
강서구,여,코트디부아르,0
강서구,여,말      리,0
강서구,여,튀  니  지,0
강서구,여,헝  가  리,2
강서구,여,아제르바이잔,0
강서구,여,이 스 라 엘,1
강서구,여,베네수엘라,0
강서구,여,칠      레,0
강서구,여,불 가 리 아,2
강서구,여,체      코,2
강서구,여,앙  골  라,0
강서구,여,아르헨티나,0
강서구,여,포 르 투 갈,1
강서구,여,(마  카  오),2
강서구,여,투르크메니스탄,1
강서구,여,감  비  아,0
강서구,여,잠  비  아,0
강서구,여,쿠 웨 이 트,0
강서구,여,과 테 말 라,0
강서구,여,부  룬  디,0
강서구,여,짐 바 브 웨,0
강서구,여,크로아티아,0
강서구,여,아르메니아,0
